benchmark	our_p	dcs_p	our_t	dcs_t
rand-6-10-50-5.100.sdimacs	1.000000e+00	1	0.00	0.000551939
rand-6-10-50-5.101.sdimacs	1.000000e+00	1	0.00	0.000577927
rand-6-10-50-5.102.sdimacs	1.000000e+00	1	0.00	0.000574112
rand-6-10-50-5.103.sdimacs	1.000000e+00	1	0.00	0.000399113
rand-6-10-50-5.104.sdimacs	1.000000e+00	1	0.00	0.000447989
rand-6-10-60-5.105.sdimacs	1.000000e+00	1	0.00	0.000581026
rand-6-10-60-5.106.sdimacs	1.000000e+00	1	0.00	0.000654936
rand-6-10-60-5.107.sdimacs	9.687500e-01	0.96875	0.01	0.000739098
rand-6-10-60-5.108.sdimacs	1.000000e+00	1	0.00	0.000440836
rand-6-10-60-5.109.sdimacs	1.000000e+00	1	0.00	0.000653982
rand-6-10-70-5.110.sdimacs	1.000000e+00	1	0.00	0.000554085
rand-6-10-70-5.111.sdimacs	1.000000e+00	1	0.00	0.00054121
rand-6-10-70-5.112.sdimacs	9.687500e-01	0.96875	0.01	0.00079298
rand-6-10-70-5.113.sdimacs	1.000000e+00	1	0.00	0.000554085
rand-6-10-70-5.114.sdimacs	1.000000e+00	1	0.00	0.00056386
rand-6-10-80-5.115.sdimacs	9.687500e-01	0.96875	0.01	0.000540972
rand-6-10-80-5.116.sdimacs	1.000000e+00	1	0.00	0.000717878
rand-6-10-80-5.117.sdimacs	1.000000e+00	1	0.00	0.000610113
rand-6-10-80-5.118.sdimacs	1.000000e+00	1	0.00	0.000687838
rand-6-10-80-5.119.sdimacs	9.687500e-01	0.96875	0.01	0.000723124
rand-6-20-100-10.120.sdimacs	9.765625e-01	0.976563	0.01	0.018724
rand-6-20-100-10.121.sdimacs	9.843750e-01	0.984375	0.01	0.024416
rand-6-20-100-10.122.sdimacs	9.804688e-01	0.980469	0.01	0.0217009
rand-6-20-100-10.123.sdimacs	9.824219e-01	0.982422	0.01	0.0225661
rand-6-20-100-10.124.sdimacs	1.000000e+00	1	0.00	0.017282
rand-6-20-120-10.125.sdimacs	9.990234e-01	0.999023	0.01	0.0330272
rand-6-20-120-10.126.sdimacs	9.960938e-01	0.996094	0.01	0.0333788
rand-6-20-120-10.127.sdimacs	9.990234e-01	0.999023	0.01	0.0318811
rand-6-20-120-10.128.sdimacs	9.980469e-01	0.998047	0.01	0.0349579
rand-6-20-120-10.129.sdimacs	9.609375e-01	0.960938	0.01	0.030463
rand-6-20-140-10.130.sdimacs	9.970703e-01	0.99707	0.01	0.054162
rand-6-20-140-10.131.sdimacs	9.912109e-01	0.991211	0.01	0.0659182
rand-6-20-140-10.132.sdimacs	9.843750e-01	0.984375	0.01	0.0389462
rand-6-20-140-10.133.sdimacs	9.843750e-01	0.984375	0.01	0.0599999
rand-6-20-140-10.134.sdimacs	9.941406e-01	0.994141	0.01	0.049593
rand-6-20-160-10.135.sdimacs	9.667969e-01	0.966797	0.01	0.053097
rand-6-20-160-10.136.sdimacs	9.970703e-01	0.99707	0.01	0.050487
rand-6-20-160-10.137.sdimacs	9.775391e-01	0.977539	0.01	0.0811341
rand-6-20-160-10.138.sdimacs	9.814453e-01	0.981445	0.01	0.0447509
rand-6-20-160-10.139.sdimacs	9.814453e-01	0.981445	0.01	0.0516398
rand-6-30-150-15.140.sdimacs	1.000000e+00	1	0.03	1.35043
rand-6-30-150-15.141.sdimacs	9.968262e-01	0.996826	0.03	1.72951
rand-6-30-150-15.142.sdimacs	9.672852e-01	0.967285	0.03	1.13452
rand-6-30-150-15.143.sdimacs	9.953308e-01	0.995331	0.03	0.915623
rand-6-30-150-15.144.sdimacs	9.393005e-01	0.939301	0.02	2.02156
rand-6-30-180-15.145.sdimacs	9.711609e-01	0.971161	0.06	2.60611
rand-6-30-180-15.146.sdimacs	9.072266e-01	0.907227	0.03	2.50571
rand-6-30-180-15.147.sdimacs	9.686890e-01	0.968689	0.04	2.88875
rand-6-30-180-15.148.sdimacs	9.204102e-01	0.92041	0.06	1.86978
rand-6-30-180-15.149.sdimacs	9.649658e-01	0.964966	0.06	2.60661
rand-6-30-210-15.150.sdimacs	9.947815e-01	0.994781	0.07	2.66812
rand-6-30-210-15.151.sdimacs	9.833984e-01	0.983398	0.09	2.30598
rand-6-30-210-15.152.sdimacs	9.596252e-01	0.959625	0.08	2.70661
rand-6-30-210-15.153.sdimacs	9.545593e-01	0.954559	0.08	3.12741
rand-6-30-210-15.154.sdimacs	9.645081e-01	0.964508	0.07	3.96712
rand-6-30-240-15.155.sdimacs	9.797668e-01	0.979767	0.14	5.59459
rand-6-30-240-15.156.sdimacs	9.121704e-01	0.91217	0.14	4.41956
rand-6-30-240-15.157.sdimacs	9.832764e-01	0.983276	0.11	6.76907
rand-6-30-240-15.158.sdimacs	9.543762e-01	0.954376	0.12	4.75484
rand-6-30-240-15.159.sdimacs	9.482422e-01	0.948242	0.09	5.8516
rand-6-40-200-20.160.sdimacs	9.651794e-01	0.965179	0.39	106.644
rand-6-40-200-20.161.sdimacs	9.891167e-01	0.989117	0.47	75.7081
rand-6-40-200-20.162.sdimacs	9.591351e-01	0.959135	0.31	75.6675
rand-6-40-200-20.163.sdimacs	9.980240e-01	0.998024	0.17	71.2582
rand-6-40-200-20.164.sdimacs	9.220276e-01	0.922028	0.31	99.6219
rand-6-40-240-20.165.sdimacs	9.704332e-01	0.970433	1.83	140.758
rand-6-40-240-20.166.sdimacs	9.670181e-01	0.967018	0.80	259.46
rand-6-40-240-20.167.sdimacs	9.934492e-01	0.993449	0.51	176.921
rand-6-40-240-20.168.sdimacs	9.822245e-01	0.982224	0.54	271.904
rand-6-40-240-20.169.sdimacs	9.241915e-01	0.924191	0.59	172.756
rand-6-40-280-20.170.sdimacs	9.349937e-01	0.934994	2.51	238.267
rand-6-40-280-20.171.sdimacs	9.289131e-01	0.928913	1.92	311.38
rand-6-40-280-20.172.sdimacs	9.976721e-01	0.997672	1.49	368.204
rand-6-40-280-20.173.sdimacs	9.192648e-01	0.919265	3.53	196.36
rand-6-40-280-20.174.sdimacs	9.363289e-01	0.936329	2.50	320.482
rand-6-40-320-20.175.sdimacs	8.700981e-01	0.870098	4.51	465.949
rand-6-40-320-20.176.sdimacs	9.781332e-01	0.978133	4.19	505.793
rand-6-40-320-20.177.sdimacs	9.168234e-01	0.916823	4.66	366.606
rand-6-40-320-20.178.sdimacs	9.002275e-01	0.900228	6.62	457.253
rand-6-40-320-20.179.sdimacs	9.783831e-01	0.978383	4.59	544.927
rand-6-50-250-25.180.sdimacs	9.516248e-01		6.61	,
rand-6-50-250-25.181.sdimacs	9.812682e-01		6.69	,
rand-6-50-250-25.182.sdimacs	9.586907e-01		8.61	,
rand-6-50-250-25.183.sdimacs	9.610111e-01		12.97	,
rand-6-50-250-25.184.sdimacs	9.632843e-01		11.98	,
rand-6-50-300-25.185.sdimacs	9.478110e-01		29.42	,
rand-6-50-300-25.186.sdimacs	9.492718e-01		21.50	,
rand-6-50-300-25.187.sdimacs	9.311769e-01		101.10	,
rand-6-50-300-25.188.sdimacs	9.484035e-01		19.52	,
rand-6-50-300-25.189.sdimacs	9.225471e-01		36.27	,
rand-6-50-350-25.190.sdimacs	9.171642e-01		177.75	,
rand-6-50-350-25.191.sdimacs	9.406127e-01		284.75	,
rand-6-50-350-25.192.sdimacs	8.984601e-01		154.85	,
rand-6-50-350-25.193.sdimacs	9.173067e-01		146.55	,
rand-6-50-350-25.194.sdimacs	9.264728e-01		194.54	,
rand-6-50-400-25.195.sdimacs	8.881903e-01		960.24	,
rand-6-50-400-25.196.sdimacs	9.700565e-01		,	,
rand-6-50-400-25.197.sdimacs	8.856957e-01		609.60	,
rand-6-50-400-25.198.sdimacs			824.26	,
rand-6-50-400-25.199.sdimacs			,	,
