benchmark	our_p	dcs_p	our_t	dcs_t
rand-7-10-60-5.100.sdimacs	1.000000e+00	1	0.00	0.000693083
rand-7-10-60-5.101.sdimacs	1.000000e+00	1	0.00	0.000622988
rand-7-10-60-5.102.sdimacs	1.000000e+00	1	0.00	0.000666142
rand-7-10-60-5.103.sdimacs	1.000000e+00	1	0.00	0.000657082
rand-7-10-60-5.104.sdimacs	1.000000e+00	1	0.00	0.000638962
rand-7-10-70-5.105.sdimacs	1.000000e+00	1	0.00	0.000554085
rand-7-10-70-5.106.sdimacs	1.000000e+00	1	0.00	0.000590086
rand-7-10-70-5.107.sdimacs	1.000000e+00	1	0.00	0.000813961
rand-7-10-70-5.108.sdimacs	1.000000e+00	1	0.00	0.000778913
rand-7-10-70-5.109.sdimacs	1.000000e+00	1	0.00	0.000558138
rand-7-10-80-5.110.sdimacs	1.000000e+00	1	0.00	0.000630856
rand-7-10-80-5.111.sdimacs	1.000000e+00	1	0.00	0.000646114
rand-7-10-80-5.112.sdimacs	1.000000e+00	1	0.00	0.000778913
rand-7-10-80-5.113.sdimacs	1.000000e+00	1	0.00	0.00163007
rand-7-10-80-5.114.sdimacs	1.000000e+00	1	0.00	0.00100398
rand-7-10-90-5.115.sdimacs	1.000000e+00	1	0.00	0.00107598
rand-7-10-90-5.116.sdimacs	1.000000e+00	1	0.00	0.00149584
rand-7-10-90-5.117.sdimacs	1.000000e+00	1	0.00	0.00195813
rand-7-10-90-5.118.sdimacs	1.000000e+00	1	0.00	0.000936985
rand-7-10-90-5.119.sdimacs	1.000000e+00	1	0.00	0.00099206
rand-7-20-120-10.120.sdimacs	9.921875e-01	0.992188	0.01	0.02988
rand-7-20-120-10.121.sdimacs	1.000000e+00	1	0.00	0.022121
rand-7-20-120-10.122.sdimacs	1.000000e+00	1	0.00	0.02899
rand-7-20-120-10.123.sdimacs	1.000000e+00	1	0.00	0.025898
rand-7-20-120-10.124.sdimacs	1.000000e+00	1	0.00	0.025533
rand-7-20-140-10.125.sdimacs	9.921875e-01	0.992188	0.01	0.0458341
rand-7-20-140-10.126.sdimacs	1.000000e+00	1	0.00	0.0543809
rand-7-20-140-10.127.sdimacs	1.000000e+00	1	0.00	0.035032
rand-7-20-140-10.128.sdimacs	1.000000e+00	1	0.00	0.0387869
rand-7-20-140-10.129.sdimacs	1.000000e+00	1	0.00	0.0432642
rand-7-20-160-10.130.sdimacs	1.000000e+00	1	0.00	0.048872
rand-7-20-160-10.131.sdimacs	1.000000e+00	1	0.00	0.066138
rand-7-20-160-10.132.sdimacs	1.000000e+00	1	0.00	0.0672779
rand-7-20-160-10.133.sdimacs	9.980469e-01	0.998047	0.01	0.068639
rand-7-20-160-10.134.sdimacs	9.921875e-01	0.992188	0.01	0.065556
rand-7-20-180-10.135.sdimacs	9.921875e-01	0.992188	0.01	0.103293
rand-7-20-180-10.136.sdimacs	1.000000e+00	1	0.00	0.142281
rand-7-20-180-10.137.sdimacs	9.921875e-01	0.992188	0.01	0.0882211
rand-7-20-180-10.138.sdimacs	1.000000e+00	1	0.00	0.0887039
rand-7-20-180-10.139.sdimacs	1.000000e+00	1	0.00	0.0803089
rand-7-30-180-15.140.sdimacs	9.999390e-01	0.999939	0.02	1.53237
rand-7-30-180-15.141.sdimacs	9.916992e-01	0.991699	0.02	1.36859
rand-7-30-180-15.142.sdimacs	9.921875e-01	0.992188	0.02	3.29936
rand-7-30-180-15.143.sdimacs	9.921875e-01	0.992188	0.01	2.06218
rand-7-30-180-15.144.sdimacs	9.921875e-01	0.992188	0.02	1.24083
rand-7-30-210-15.145.sdimacs	1.000000e+00	1	0.03	3.409
rand-7-30-210-15.146.sdimacs	1.000000e+00	1	0.02	5.85874
rand-7-30-210-15.147.sdimacs	1.000000e+00	1	0.02	3.84027
rand-7-30-210-15.148.sdimacs	9.844971e-01	0.984497	0.03	3.23595
rand-7-30-210-15.149.sdimacs	9.921875e-01	0.992188	0.03	2.72425
rand-7-30-240-15.150.sdimacs	1.000000e+00	1	0.03	5.79513
rand-7-30-240-15.151.sdimacs	9.843750e-01	0.984375	0.04	5.11192
rand-7-30-240-15.152.sdimacs	1.000000e+00	1	0.03	5.49122
rand-7-30-240-15.153.sdimacs	1.000000e+00	1	0.03	5.09631
rand-7-30-240-15.154.sdimacs	9.921875e-01	0.992188	0.04	6.40329
rand-7-30-270-15.155.sdimacs	9.921875e-01	0.992188	0.07	8.39139
rand-7-30-270-15.156.sdimacs	9.919434e-01	0.991943	0.06	8.50752
rand-7-30-270-15.157.sdimacs	9.685059e-01	0.968506	0.07	9.65305
rand-7-30-270-15.158.sdimacs	9.915161e-01	0.991516	0.07	7.98502
rand-7-30-270-15.159.sdimacs	9.980469e-01	0.998047	0.05	8.58998
rand-7-40-240-20.160.sdimacs	1.000000e+00	1	0.08	142.706
rand-7-40-240-20.161.sdimacs	1.000000e+00	1	0.11	124.548
rand-7-40-240-20.162.sdimacs	9.838867e-01	0.983887	0.20	179.633
rand-7-40-240-20.163.sdimacs	9.843178e-01	0.984318	0.15	200.704
rand-7-40-240-20.164.sdimacs	9.921570e-01	0.992157	0.13	232.516
rand-7-40-280-20.165.sdimacs	9.902344e-01	0.990234	0.30	335.452
rand-7-40-280-20.166.sdimacs	9.998779e-01	0.999878	0.29	157.214
rand-7-40-280-20.167.sdimacs	9.843750e-01	0.984375	0.29	240.881
rand-7-40-280-20.168.sdimacs	9.985352e-01	0.998535	0.37	293.988
rand-7-40-280-20.169.sdimacs	9.921188e-01	0.992119	0.43	313.196
rand-7-40-320-20.170.sdimacs	9.921799e-01	0.99218	0.55	739.275
rand-7-40-320-20.171.sdimacs	9.768066e-01	0.976807	0.39	807.682
rand-7-40-320-20.172.sdimacs	9.844589e-01	0.984459	1.03	484.385
rand-7-40-320-20.173.sdimacs	9.921875e-01	0.992188	0.52	587.707
rand-7-40-320-20.174.sdimacs	9.987793e-01	0.998779	0.48	622.819
rand-7-40-360-20.175.sdimacs	9.981413e-01	0.998141	1.49	755.721
rand-7-40-360-20.176.sdimacs	9.843750e-01	0.984226	0.74	,
rand-7-40-360-20.177.sdimacs	9.842262e-01	0.983887	1.19	949.078
rand-7-40-360-20.178.sdimacs	9.838867e-01	0.967846	1.05	771.136
rand-7-40-360-20.179.sdimacs	9.678459e-01		1.09	889.018
rand-7-50-300-25.180.sdimacs	9.843740e-01		1.94	,
rand-7-50-300-25.181.sdimacs	9.921875e-01		2.75	,
rand-7-50-300-25.182.sdimacs	9.999847e-01		1.00	,
rand-7-50-300-25.183.sdimacs	9.754715e-01		2.31	,
rand-7-50-300-25.184.sdimacs	1.000000e+00		3.13	,
rand-7-50-350-25.185.sdimacs	9.755843e-01		7.49	,
rand-7-50-350-25.186.sdimacs	9.766846e-01		6.80	,
rand-7-50-350-25.187.sdimacs	9.835205e-01		6.01	,
rand-7-50-350-25.188.sdimacs	9.837646e-01		9.50	,
rand-7-50-350-25.189.sdimacs	9.759521e-01		5.93	,
rand-7-50-400-25.190.sdimacs	9.748325e-01		12.09	,
rand-7-50-400-25.191.sdimacs	9.900236e-01		23.47	,
rand-7-50-400-25.192.sdimacs	9.829863e-01		15.18	,
rand-7-50-400-25.193.sdimacs	9.828720e-01		20.59	,
rand-7-50-400-25.194.sdimacs	9.999962e-01		24.51	,
rand-7-50-450-25.195.sdimacs	9.830795e-01		67.36	,
rand-7-50-450-25.196.sdimacs	9.916561e-01		58.89	,
rand-7-50-450-25.197.sdimacs	9.668330e-01		93.40	,
rand-7-50-450-25.198.sdimacs	9.763960e-01		77.24	,
rand-7-50-450-25.199.sdimacs	9.765416e-01		36.25	,
