benchmark	our_p	dcs_p	our_t	dcs_t
rand-3-40-80-20.161.sdimacs	4.481506e-02	0.0448151	0.04	0.00627613
rand-3-40-80-20.162.sdimacs	4.418945e-02	0.0441895	0.05	0.00787807
rand-3-40-80-20.163.sdimacs	8.899975e-02	0.0889997	0.04	0.0100179
rand-3-40-80-20.164.sdimacs	6.096172e-02	0.0609617	0.05	0.0152979
rand-3-50-100-25.180.sdimacs	3.558642e-02	0.0355864	0.78	0.250301
rand-3-50-100-25.181.sdimacs	2.788264e-02	0.0278826	0.19	0.0578489
rand-3-50-100-25.182.sdimacs	3.728414e-02	0.0372842	0.57	0.0791569
rand-3-50-100-25.183.sdimacs	1.568460e-02	0.0156846	0.54	0.049804
rand-3-50-100-25.184.sdimacs	3.898191e-02	0.0389819	0.39	0.148864
rand-3-50-150-25.185.sdimacs	9.193420e-04	0.000919342	0.13	0.015202
rand-3-50-150-25.186.sdimacs	1.918674e-04	0.000191867	0.14	0.00653291
rand-3-50-150-25.187.sdimacs	5.376339e-04	0.000537634	0.11	0.00737309
rand-3-50-150-25.188.sdimacs	5.195141e-04	0.000519484	0.14	0.0116448
rand-3-50-150-25.189.sdimacs	1.834035e-04	0.000183403	0.10	0.00470209
rand-3-50-200-25.190.sdimacs	8.344650e-07	8.04663e-07	0.00	0.00123596
rand-3-50-200-25.191.sdimacs	3.576279e-07	3.27826e-07	0.00	0.00137687
rand-3-50-200-25.192.sdimacs	1.072884e-06	1.10269e-06	0.00	0.00135612
rand-3-50-200-25.193.sdimacs	8.344650e-07	8.34465e-07	0.01	0.000864029
rand-3-50-200-25.194.sdimacs	0.000000e+00	0	0.00	0.00170302
rand-3-50-250-25.195.sdimacs	0.000000e+00	0	0.00	0.00101995
rand-3-50-250-25.196.sdimacs	0.000000e+00	0	0.00	0.000833988
rand-3-50-250-25.197.sdimacs	0.000000e+00	0	0.00	0.000751019
rand-3-50-250-25.198.sdimacs	0.000000e+00	0	0.00	0.000967026
rand-3-50-250-25.199.sdimacs	0.000000e+00	0	0.00	0.000846863
rand-4-10-30-5.100.sdimacs	8.125000e-01	0.8125	0.00	0.000338078
rand-4-10-30-5.101.sdimacs	7.500000e-01	0.75	0.00	0.00024581
rand-4-10-30-5.102.sdimacs	8.437500e-01	0.84375	0.00	0.000337124
rand-4-10-30-5.103.sdimacs	9.375000e-01	0.9375	0.00	0.000325918
rand-4-10-30-5.104.sdimacs	8.437500e-01	0.84375	0.00	0.000347137
rand-4-10-40-5.105.sdimacs	5.312500e-01	0.53125	0.00	0.000375986
rand-4-10-40-5.106.sdimacs	6.875000e-01	0.6875	0.00	0.000263929
rand-4-10-40-5.107.sdimacs	6.562500e-01	0.65625	0.00	0.000224113
rand-4-10-40-5.108.sdimacs	7.187500e-01	0.71875	0.00	0.000329018
rand-4-10-40-5.109.sdimacs	6.875000e-01	0.6875	0.00	0.000236034
rand-4-10-50-5.110.sdimacs	4.375000e-01	0.4375	0.00	0.000249147
rand-4-10-50-5.111.sdimacs	2.812500e-01	0.28125	0.00	0.000439882
rand-4-10-50-5.112.sdimacs	4.375000e-01	0.4375	0.00	0.000370979
rand-4-10-50-5.113.sdimacs	6.875000e-01	0.6875	0.00	0.000272989
rand-4-10-50-5.114.sdimacs	5.625000e-01	0.5625	0.00	0.000268936
rand-4-10-60-5.115.sdimacs	1.562500e-01	0.15625	0.00	0.000261068
rand-4-10-60-5.116.sdimacs	3.125000e-01	0.3125	0.00	0.000267982
rand-4-10-60-5.117.sdimacs	5.625000e-01	0.5625	0.00	0.000262022
rand-4-10-60-5.118.sdimacs	2.500000e-01	0.25	0.00	0.00028491
rand-4-10-60-5.119.sdimacs	1.562500e-01	0.15625	0.00	0.00028491
rand-4-20-100-10.130.sdimacs	2.402344e-01	0.240234	0.01	0.00262094
rand-4-20-100-10.131.sdimacs	3.691406e-01	0.369141	0.01	0.00455117
rand-4-20-100-10.132.sdimacs	2.734375e-01	0.273438	0.01	0.0026319
rand-4-20-100-10.133.sdimacs	2.353516e-01	0.235352	0.01	0.00259709
rand-4-20-100-10.134.sdimacs	1.904297e-01	0.19043	0.01	0.00206304
rand-4-20-120-10.135.sdimacs	1.083984e-01	0.108398	0.01	0.00482011
rand-4-20-120-10.136.sdimacs	1.142578e-01	0.114258	0.01	0.00234294
rand-4-20-120-10.137.sdimacs	1.640625e-01	0.164062	0.01	0.00223398
rand-4-20-120-10.138.sdimacs	1.162109e-01	0.116211	0.01	0.00297713
rand-4-20-120-10.139.sdimacs	9.277344e-02	0.0927734	0.01	0.00248909
rand-4-20-60-10.120.sdimacs	6.171875e-01	0.617188	0.00	0.00163698
rand-4-20-60-10.121.sdimacs	5.673828e-01	0.567383	0.00	0.00298595
rand-4-20-60-10.122.sdimacs	6.025391e-01	0.602539	0.01	0.001724
rand-4-20-60-10.123.sdimacs	6.445312e-01	0.644531	0.00	0.00110197
rand-4-20-60-10.124.sdimacs	6.054688e-01	0.605469	0.00	0.00337696
rand-4-20-80-10.125.sdimacs	5.068359e-01	0.506836	0.01	0.00293398
rand-4-20-80-10.126.sdimacs	3.720703e-01	0.37207	0.01	0.0025351
rand-4-20-80-10.127.sdimacs	4.238281e-01	0.423828	0.01	0.00296712
rand-4-20-80-10.128.sdimacs	4.775391e-01	0.477539	0.01	0.00445318
rand-4-20-80-10.129.sdimacs	4.882812e-01	0.488281	0.01	0.00292611
rand-4-30-120-15.145.sdimacs	2.113647e-01	0.211365	0.08	0.0426371
rand-4-30-120-15.146.sdimacs	2.242126e-01	0.224213	0.10	0.055335
rand-4-30-120-15.147.sdimacs	2.731628e-01	0.273163	0.08	0.105334
rand-4-30-120-15.148.sdimacs	3.352966e-01	0.335297	0.06	0.11631
rand-4-30-120-15.149.sdimacs	2.757263e-01	0.275726	0.10	0.0596879
rand-4-30-150-15.150.sdimacs	6.445312e-02	0.0644531	0.06	0.028249
rand-4-30-150-15.151.sdimacs	1.043091e-01	0.104309	0.07	0.044724
rand-4-30-150-15.152.sdimacs	1.326599e-01	0.13266	0.13	0.0440121
rand-4-30-150-15.153.sdimacs	1.272888e-01	0.127289	0.11	0.062613
rand-4-30-150-15.154.sdimacs	1.500244e-01	0.150024	0.15	0.075732
rand-4-30-180-15.155.sdimacs	3.958130e-02	0.0395813	0.09	0.0333829
rand-4-30-180-15.156.sdimacs	3.829956e-02	0.0382996	0.07	0.0345249
rand-4-30-180-15.157.sdimacs	3.399658e-02	0.0339966	0.08	0.0234189
rand-4-30-180-15.158.sdimacs	4.510498e-02	0.045105	0.07	0.0240109
rand-4-30-180-15.159.sdimacs	3.195190e-02	0.0319519	0.06	0.0182641
rand-4-30-90-15.140.sdimacs	5.603027e-01	0.560303	0.03	0.0546839
rand-4-30-90-15.141.sdimacs	5.170898e-01	0.51709	0.04	0.0293529
rand-4-30-90-15.142.sdimacs	5.942383e-01	0.594238	0.03	0.133173
rand-4-30-90-15.143.sdimacs	5.856018e-01	0.585602	0.07	0.114269
rand-4-30-90-15.144.sdimacs	5.509033e-01	0.550903	0.03	0.0224741
rand-4-40-120-20.160.sdimacs	4.043789e-01	0.404379	2.01	2.36083
rand-4-40-120-20.161.sdimacs	4.593906e-01	0.459391	1.27	1.73759
rand-4-40-120-20.162.sdimacs	3.495874e-01	0.349587	0.74	0.959897
rand-4-40-120-20.163.sdimacs	3.988352e-01	0.398835	0.73	2.80361
rand-4-40-120-20.164.sdimacs	4.547195e-01	0.45472	1.36	0.882242
rand-4-40-160-20.165.sdimacs	2.028952e-01	0.202895	3.42	3.02118
rand-4-40-160-20.166.sdimacs	2.281618e-01	0.228162	2.17	4.05254
rand-4-40-160-20.167.sdimacs	1.880007e-01	0.188001	2.91	1.17904
rand-4-40-160-20.168.sdimacs	3.126974e-01	0.312697	3.19	4.62535
rand-4-40-160-20.169.sdimacs	1.367960e-01	0.136796	1.17	1.2369
rand-4-40-200-20.170.sdimacs	5.548286e-02	0.0554829	1.51	0.772372
rand-4-40-200-20.171.sdimacs	6.875801e-02	0.068758	2.19	0.964995
rand-4-40-200-20.172.sdimacs	2.940083e-02	0.0294008	1.55	0.415569
rand-4-40-200-20.173.sdimacs	3.108406e-02	0.0310841	1.84	0.557627
rand-4-40-200-20.174.sdimacs	8.438206e-02	0.0843821	3.04	0.950296
rand-4-40-240-20.175.sdimacs	1.864529e-02	0.0186453	1.33	0.363301
rand-4-40-240-20.176.sdimacs	1.491642e-02	0.0149164	1.40	0.508262
rand-4-40-240-20.177.sdimacs	1.224327e-02	0.0122433	1.30	0.393026
rand-4-40-240-20.178.sdimacs	1.238155e-02	0.0123816	0.82	0.251761
rand-4-40-240-20.179.sdimacs	8.228302e-03	0.0082283	0.73	0.272317
rand-4-50-150-25.180.sdimacs	4.528009e-01	0.452801	67.25	44.7021
rand-4-50-150-25.181.sdimacs	3.434682e-01	0.343468	60.85	47.9307
rand-4-50-150-25.182.sdimacs	2.854105e-01	0.28541	48.66	77.9407
rand-4-50-150-25.183.sdimacs	3.642687e-01	0.364269	52.65	61.9922
rand-4-50-150-25.184.sdimacs	3.085455e-01	0.308546	58.28	50.8059
rand-4-50-200-25.185.sdimacs	1.516622e-01	0.151662	271.23	32.8851
rand-4-50-200-25.186.sdimacs	1.860276e-01	0.186028	260.92	68.7131
rand-4-50-200-25.187.sdimacs	1.393933e-01	0.139393	185.44	59.3827
rand-4-50-200-25.188.sdimacs	1.168950e-01	0.116895	171.82	41.2505
rand-4-50-200-25.189.sdimacs	8.713067e-02	0.0871307	175.68	24.6073
rand-4-50-250-25.190.sdimacs	1.344562e-02	0.0134456	33.88	6.0099
rand-4-50-250-25.191.sdimacs	4.239726e-02	0.0423972	110.16	19.8615
rand-4-50-250-25.192.sdimacs	3.153515e-02	0.0315352	71.89	18.7396
rand-4-50-250-25.193.sdimacs	1.560891e-02	0.0156089	43.04	8.0365
rand-4-50-250-25.194.sdimacs	1.667500e-02	0.016675	67.27	9.17455
rand-4-50-300-25.195.sdimacs	6.015718e-03	0.00601572	24.86	4.52558
