benchmark	our_p	dcs_p	our_t	dcs_t
rand-4-40-240-20.176.sdimacs	1.491642e-02	0.0149164	1.40	0.508262
rand-4-40-240-20.177.sdimacs	1.224327e-02	0.0122433	1.30	0.393026
rand-4-40-240-20.178.sdimacs	1.238155e-02	0.0123816	0.82	0.251761
rand-4-40-240-20.179.sdimacs	8.228302e-03	0.0082283	0.73	0.272317
rand-4-50-150-25.180.sdimacs	4.528009e-01	0.452801	67.25	44.7021
rand-4-50-150-25.181.sdimacs	3.434682e-01	0.343468	60.85	47.9307
rand-4-50-150-25.182.sdimacs	2.854105e-01	0.28541	48.66	77.9407
rand-4-50-150-25.183.sdimacs	3.642687e-01	0.364269	52.65	61.9922
rand-4-50-150-25.184.sdimacs	3.085455e-01	0.308546	58.28	50.8059
rand-4-50-200-25.185.sdimacs	1.516622e-01	0.151662	271.23	32.8851
rand-4-50-200-25.186.sdimacs	1.860276e-01	0.186028	260.92	68.7131
rand-4-50-200-25.187.sdimacs	1.393933e-01	0.139393	185.44	59.3827
rand-4-50-200-25.188.sdimacs	1.168950e-01	0.116895	171.82	41.2505
rand-4-50-200-25.189.sdimacs	8.713067e-02	0.0871307	175.68	24.6073
rand-4-50-250-25.190.sdimacs	1.344562e-02	0.0134456	33.88	6.0099
rand-4-50-250-25.191.sdimacs	4.239726e-02	0.0423972	110.16	19.8615
rand-4-50-250-25.192.sdimacs	3.153515e-02	0.0315352	71.89	18.7396
rand-4-50-250-25.193.sdimacs	1.560891e-02	0.0156089	43.04	8.0365
rand-4-50-250-25.194.sdimacs	1.667500e-02	0.016675	67.27	9.17455
rand-4-50-300-25.195.sdimacs	6.015718e-03	0.00601572	24.86	4.52558
rand-4-50-300-25.196.sdimacs	1.927137e-03	0.00192714	9.78	2.00876
rand-4-50-300-25.197.sdimacs	5.829334e-03	0.00582933	26.71	4.75496
rand-4-50-300-25.198.sdimacs	4.379869e-03	0.00437984	21.64	4.42772
rand-4-50-300-25.199.sdimacs	3.063202e-03	0.0030632	13.65	3.16553
